shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1000,36.5676474,139.9881238,242
1000,36.5676873,139.9884011,243
1000,36.5677293,139.988852,244
1000,36.5677485,139.9890801,245
1000,36.5677626,139.9892916,246
1000,36.5677745,139.9895503,247
1000,36.567786,139.9898068,248
1000,36.5677922,139.9900612,249
1000,36.567796,139.9907211,250
1000,36.5677766,139.99132,251
1000,36.5677335,139.9929124,252
1000,36.5676774,139.9949453,253
1000,36.5676364,139.9969056,254
1000,36.567632,139.9970581,255
1000,36.5676494,139.9976459,256
1000,36.5676188,139.9990369,257
1000,36.5675788,139.9995729,258
1000,36.5675443,140.0006303,259
1000,36.5675027,140.0010787,260
1000,36.5674596,140.0014601,261
1000,36.5673862,140.001828,262
1000,36.5672554,140.0023352,263
1000,36.5668513,140.003799,264
1000,36.5648687,140.0109393,265
1000,36.5648278,140.0110828,266
1000,36.5648204,140.0111707,267
1000,36.5648229,140.0112617,268
1000,36.5648625,140.0113604,269
1000,36.564917,140.0114128,270
1000,36.5650186,140.011473,271
1000,36.5667405,140.0123155,272
1000,36.5682147,140.0130558,273
1000,36.5697928,140.0138517,274
1000,36.5709077,140.0143977,275
1000,36.5712892,140.014592,276
1000,36.5715394,140.0146506,277
1000,36.5718144,140.0146907,278
1000,36.5720448,140.0146969,279
1000,36.5723198,140.0146969,280
1000,36.5725452,140.0146321,281
1000,36.572845,140.0145241,282
1000,36.5792009,140.0117433,283
